City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Bridgeton ,S,18,1500019000,0.199,0.102,0.091,F,0.259,0.025,0.202,F,11550,0.021,1577,0.653,0.051,2.23,8398,5397,0.297,790.9,502277000,0.113,0.002,S,0.064,622382000,0.06,0.187,5088,0.724,15550,41286,0.704,NA,166100,0.104,0.898,-0.257,14.6,Z,30917,0.53,96407000,0.898,51580
Murphy ,F,27.3,D,0.224,0.103,0.009,F,0.155,0.006,0.117,F,8690,0.02,788,0.802,0.066,2.39,50834,3721,0.137,2203.3,204873000,0.088,0.005,F,0.024,67873000,F,0.009,3750,0.953,9048,NA,0.94,NA,133100,0.018,0.877,-0.04,3.94,Z,23899,0.507,11286000,0.856,47062
Weldon Spring ,S,25.1,NA,0.225,0.05,0.037,S,0.535,0.019,0.201,S,5443,0.008,S,0.883,0.029,2.52,78314,2164,0.101,725.2,D,S,0.001,S,0.01,41002000,S,0.014,2151,0.955,5270,7722,0.949,NA,392200,0.057,0.959,0.033,7.51,0,45228,0.524,6548000,0.958,91585
Rolla ,F,13.6,392791000,0.182,0.228,0.058,F,0.324,0.057,0.116,F,19559,0.026,1216,0.466,0.061,2.33,62912,6961,0.365,1652.9,65809000,0.267,0.004,S,0.026,542269000,F,0.041,8339,0.867,16367,29590,0.848,NA,117400,0.094,0.681,0.195,11.83,0.001,17426,0.45,66468000,0.896,32640
Oakville ,F,26.9,NA,0.228,0.021,0.03,F,0.365,0.018,0.143,S,36143,0.01,2908,0.871,0.05,2.63,53876,13328,0.142,2269.3,138444000,0.333,0.001,S,0.014,99664000,F,0.008,14314,0.96,35309,NA,0.949,NA,220900,0.044,0.918,0.024,15.93,Z,35602,0.51,21231000,0.947,78781
Cameron ,F,18.7,NA,0.171,0.118,0.021,F,0.121,0.005,0.135,F,9933,0.01,842,0.517,0.051,2.27,10828,2889,0.311,1644,D,S,0.005,F,0.02,183811000,F,0.148,2951,0.829,8312,19846,0.813,NA,108900,0.053,0.689,0.195,6.04,Z,14728,0.34,17082000,0.825,42538
Sappington ,F,23.7,NA,0.197,0.049,0.074,F,0.371,0.027,0.241,F,7580,0.017,669,0.72,0.043,2.24,65954,3560,0.329,2973.7,1392000,S,0.001,S,0.019,107013000,F,0.015,3756,0.936,7287,NA,0.923,NA,195600,0.094,0.894,0.04,2.55,Z,31613,0.53,12863000,0.915,52574
Eureka ,F,26.1,D,0.309,0.028,0.036,F,0.412,0.019,0.096,F,10189,0.017,984,0.882,0.071,3.04,22834,2885,0.112,984.2,27620000,S,0.002,F,0.02,185110000,F,0.008,3683,0.949,7676,20328,0.936,NA,244900,0.051,0.86,0.327,10.35,0.001,32541,0.504,29144000,0.922,95811
St. Peters ,S,24.3,695202000,0.232,0.028,0.033,F,0.316,0.018,0.114,0.007,52575,0.018,4478,0.819,0.057,2.55,65126,20756,0.184,2350.6,D,0.236,0.002,S,0.025,1545145000,S,0.037,21717,0.917,51381,28115,0.902,NA,171500,0.064,0.907,0.023,22.37,0.001,30580,0.518,135198000,0.925,70275
Chillicothe ,F,15.6,130272000,0.214,0.273,0.002,F,0.187,0.003,0.186,F,9515,0.015,1177,0.554,0.063,2.3,13690,3419,0.2,1355,52529000,0.314,0.004,F,0.015,D,F,0.037,4108,0.935,8968,D,0.926,NA,91600,0.014,0.817,0.061,7.02,Z,18573,0.587,D,0.835,31967
Cape Girardeau ,F,14.7,2605444000,0.193,0.198,0.026,F,0.304,0.019,0.147,F,37941,0.024,3682,0.538,0.061,2.28,11242,14960,0.309,1334.6,1625483000,0.255,0.002,F,0.028,1018238000,S,0.128,16760,0.811,35349,27476,0.802,NA,127100,0.042,0.721,0.073,28.43,Z,21680,0.526,119675000,0.847,39284
Black Jack ,F,28.4,NA,0.234,0.147,0.01,F,0.279,0.004,0.161,F,6929,0.018,488,0.64,0.055,2.55,6004,2595,0.231,2675.3,D,0.387,0.001,F,0.007,12119000,0.758,0.812,2809,0.163,6792,1759,0.162,NA,145600,0.032,0.824,0.02,2.59,Z,25108,0.551,809000,0.898,50553
Dexter ,F,14.8,D,0.229,0.16,0.001,F,0.143,0.002,0.198,F,7864,0.014,740,0.561,0.07,2.3,19396,3349,0.182,1206.7,23492000,0.181,0.005,F,0.019,317661000,F,0.005,3666,0.971,7356,41497,0.958,NA,75800,0.013,0.751,0.069,6.52,Z,25477,0.544,17395000,0.731,31926
Hazelwood ,F,21.6,1112178000,0.232,0.093,0.037,F,0.236,0.014,0.124,F,25703,0.025,1910,0.627,0.062,2.3,31276,11166,0.328,1604.4,870006000,0.295,0.003,0.035,0.03,977962000,0.15,0.305,11730,0.641,26206,38434,0.626,NA,128900,0.059,0.861,-0.019,16.02,Z,24651,0.53,59241000,0.906,47838
Richmond Heights ,F,18.2,NA,0.182,0.077,0.04,F,0.609,0.042,0.135,S,8603,0.018,1256,0.569,0.055,2.07,61706,4066,0.321,3740.4,27421000,0.24,0.002,S,0.023,221587000,S,0.116,4680,0.817,9602,24199,0.801,NA,252000,0.06,0.844,-0.104,2.3,Z,42792,0.532,55852000,0.934,58281
Moberly ,F,16.7,181098000,0.22,0.229,0.021,F,0.118,0.006,0.139,F,13974,0.026,1145,0.633,0.064,2.47,49034,4671,0.18,1143.2,93651000,S,0.004,F,0.021,273471000,F,0.097,5687,0.864,11945,19390,0.85,NA,75500,0.021,0.794,0.17,12.22,Z,15095,0.462,21300000,0.804,31747
Independence ,S,23.2,1039446000,0.23,0.147,0.039,F,0.178,0.01,0.161,0.032,116830,0.032,7693,0.667,0.068,2.42,35000,47235,0.212,1506.2,176283000,0.259,0.006,0.014,0.077,1878472000,S,0.056,53834,0.857,113288,15532,0.822,NA,110400,0.06,0.846,0.031,77.57,0.007,22738,0.52,216754000,0.862,43580
St. Joseph ,F,16.4,D,0.236,0.164,0.028,F,0.195,0.009,0.138,F,76780,0.027,6351,0.653,0.071,2.43,64550,29394,0.203,1745.3,1001789000,0.241,0.005,0.018,0.057,1419083000,S,0.06,33189,0.878,73990,18646,0.847,NA,100700,0.053,0.76,0.038,43.99,0.002,21002,0.502,151667000,0.856,40430
Savannah ,S,19.3,NA,0.257,0.093,0.029,S,0.239,0.005,0.191,S,5057,0.008,S,0.601,0.066,2.36,66044,2056,0.245,1611,D,S,0.003,S,0.016,57452000,S,0.004,2187,0.977,4762,11433,0.966,NA,113800,0.044,0.735,0.062,3.14,0,19633,0.546,3437000,0.837,37054
Concord ,F,23.2,NA,0.197,0.029,0.055,F,0.342,0.017,0.238,S,16421,0.011,1575,0.87,0.045,2.29,16030,6904,0.117,2996,16200000,S,0.001,S,0.014,431361000,F,0.006,7304,0.96,16689,NA,0.951,NA,192700,0.067,0.907,-0.016,5.48,Z,32835,0.526,38502000,0.939,63328
Jennings ,F,28.9,NA,0.27,0.259,0.007,F,0.127,0.002,0.107,F,14712,0.011,719,0.588,0.07,2.52,37178,5887,0.14,3971.9,6410000,0.485,0.001,F,0.006,75157000,0.608,0.898,6937,0.085,15469,5120,0.084,NA,78800,0.012,0.73,-0.049,3.7,0,14932,0.555,6334000,0.76,29793
Lebanon ,F,15,1182709000,0.259,0.2,0.021,F,0.139,0.007,0.158,S,14474,0.024,1865,0.534,0.088,2.26,41168,6165,0.242,989.5,140624000,0.203,0.006,F,0.026,420266000,F,0.013,6728,0.941,12155,29978,0.926,NA,89900,0.037,0.736,0.191,14.63,0.001,17646,0.525,43996000,0.773,32067
Kansas City ,0.01,21.2,7789319000,0.242,0.181,0.075,S,0.296,0.025,0.11,0.032,459787,0.032,35820,0.582,0.075,2.33,38000,192695,0.302,1459.9,15540084000,0.289,0.005,0.027,0.1,6712982000,0.13,0.299,221860,0.592,441545,14108,0.549,NA,135000,0.116,0.799,0.041,314.95,0.002,25683,0.515,1668701000,0.864,44113
Festus ,F,27.2,NA,0.268,0.122,0.021,F,0.175,0.008,0.139,F,11602,0.019,1041,0.743,0.08,2.51,24094,4472,0.174,2032.9,D,S,0.002,F,0.012,313902000,S,0.034,4972,0.935,9660,28132,0.925,NA,142200,0.031,0.873,0.201,5.71,Z,23245,0.517,42655000,0.883,48471
Boonville ,F,21.6,151546000,0.203,0.165,0.01,F,0.151,0.006,0.146,F,8319,0.022,789,0.643,0.055,2.36,7318,2858,0.227,1207.4,35451000,S,0.004,F,0.019,179855000,F,0.133,3294,0.831,8202,20348,0.818,NA,103100,0.018,0.71,0.014,6.89,Z,17025,0.448,111916000,0.807,36625
St. Louis ,0.006,24.4,10920629000,0.212,0.26,0.067,S,0.269,0.029,0.11,0.014,319294,0.024,23637,0.472,0.066,2.19,65000,140439,0.535,5157.5,5042147000,0.283,0.003,0.051,0.035,2496672000,0.214,0.492,176002,0.439,348189,7020,0.422,NA,122200,0.089,0.776,-0.083,61.91,Z,21406,0.517,1059295000,0.806,33652
Old Jamestown ,F,27.4,NA,0.224,0.032,0.03,F,0.364,0.018,0.137,F,19184,0.018,F,0.922,0.043,2.78,54352,7388,0.079,1283.8,NA,F,0.001,F,0.014,NA,F,0.537,7450,0.419,NA,NA,0.413,NA,187000,0.04,0.913,NA,14.94,0.001,29052,0.525,NA,0.945,67974
Jefferson City ,F,14.8,D,0.209,0.124,0.04,F,0.329,0.018,0.134,0.016,43079,0.022,4394,0.597,0.065,2.23,37000,16606,0.332,1198.4,620785000,0.265,0.003,S,0.026,1134400000,S,0.169,18852,0.78,39636,27861,0.767,NA,134500,0.06,0.767,0.087,35.95,0.001,25228,0.488,118935000,0.88,47336
Brentwood ,F,21.3,306309000,0.184,0.046,0.095,F,0.637,0.068,0.124,F,8055,0.019,1350,0.634,0.058,1.96,8236,4077,0.434,4101.3,210065000,0.252,0.001,0.044,0.028,459814000,S,0.031,4410,0.875,7693,63713,0.855,NA,188500,0.093,0.785,0.047,1.96,Z,44999,0.539,23739000,0.975,65456
Lake St. Louis ,F,27.7,NA,0.234,0.04,0.042,F,0.438,0.021,0.16,F,14545,0.011,1412,0.81,0.058,2.46,40043,5639,0.202,1839.5,D,0.36,0.003,F,0.021,161460000,F,0.038,6197,0.922,10169,11647,0.906,NA,243100,0.073,0.857,0.43,7.91,0.001,39803,0.505,17010000,0.949,81393
Neosho ,F,19.1,319426000,0.271,0.202,0.088,F,0.162,0.009,0.142,F,11835,0.027,964,0.596,0.085,2.57,51572,4426,0.187,752.4,339790000,0.281,0.016,F,0.113,222771000,F,0.01,4998,0.842,10505,19850,0.807,NA,86400,0.152,0.773,0.127,15.73,0.024,16247,0.517,18711000,0.782,32488
Monett ,0.042,16.5,1029505000,0.278,0.238,0.085,F,0.182,0.01,0.145,0.049,8873,0.019,862,0.589,0.089,2.57,49196,3317,0.23,1052.3,103956000,S,0.009,0.042,0.19,151847000,F,0.008,3828,0.868,7396,17348,0.774,NA,99200,0.161,0.756,0.2,8.43,0.001,19116,0.519,13612000,0.767,35529
Aurora ,F,19.2,D,0.276,0.222,0.027,F,0.098,0.002,0.158,F,7508,0.018,691,0.642,0.075,2.43,2548,3022,0.142,1261.2,20922000,0.23,0.009,F,0.075,242365000,F,0.003,3396,0.923,7014,32708,0.898,NA,77400,0.058,0.715,0.07,5.95,0.001,16795,0.528,8393000,0.765,27698
Nixa ,F,22.2,NA,0.288,0.104,0.018,F,0.317,0.008,0.123,S,19022,0.022,1792,0.692,0.08,2.66,52616,6745,0.163,2244.5,52096000,S,0.007,S,0.031,231936000,F,0.009,7871,0.944,12124,12516,0.927,NA,138300,0.041,0.78,0.569,8.48,0.001,22166,0.526,23701000,0.935,50702
Maplewood ,F,20.1,125976000,0.173,0.157,0.045,F,0.388,0.035,0.078,F,8046,0.035,932,0.411,0.065,1.8,45830,4572,0.519,5154.4,208418000,0.229,0.002,F,0.038,289798000,F,0.172,4889,0.741,9228,33356,0.719,NA,153000,0.071,0.797,-0.128,1.56,0.001,24926,0.498,35580000,0.908,36020
Glasgow Village ,S,27.7,NA,0.407,0.252,0.011,S,0.078,0.001,0.073,S,5429,0.022,S,0.519,0.094,2.82,27226,1825,0.194,5881.9,NA,S,0.001,S,0.009,D,S,0.818,2001,0.155,5234,D,0.153,NA,71500,0.022,0.887,0.037,0.92,0,13220,0.561,NA,0.81,30992
Raytown ,F,21.8,NA,0.231,0.102,0.043,F,0.219,0.01,0.162,0.049,29526,0.035,2384,0.727,0.061,2.44,60788,11944,0.157,2973.7,78277000,0.248,0.005,S,0.051,367112000,0.089,0.251,13276,0.677,30388,13628,0.653,NA,109800,0.065,0.836,-0.028,9.93,0.002,23464,0.527,28734000,0.904,49130
Caruthersville ,F,15.2,NA,0.295,0.392,0.004,F,0.12,0.002,0.141,F,6168,0.017,441,0.488,0.086,2.54,11692,2428,0.277,1196,D,0.299,0.003,F,0.024,58950000,S,0.331,2727,0.639,6760,9578,0.629,NA,65900,0.014,0.782,-0.088,5.16,0.001,15954,0.534,5039000,0.703,31895
Valley Park ,F,24.1,NA,0.231,0.122,0.108,F,0.467,0.063,0.131,F,6942,0.023,644,0.673,0.075,2.18,75472,3081,0.322,1826.4,27732000,0.205,0.004,S,0.039,37437000,S,0.04,3209,0.851,6518,5946,0.833,NA,183600,0.107,0.858,0.065,3.8,0,31704,0.522,7923000,0.914,60982
Springfield ,0.007,17.3,3554178000,0.183,0.217,0.031,F,0.256,0.019,0.145,0.015,159498,0.032,17220,0.509,0.06,2.09,70000,70167,0.31,1951.8,4816002000,0.255,0.008,0.014,0.037,4176409000,0.022,0.041,77620,0.887,151580,26980,0.868,NA,103800,0.059,0.713,0.052,81.72,0.002,20793,0.515,540527000,0.866,33082
Florissant ,F,23.8,NA,0.239,0.07,0.024,F,0.195,0.008,0.155,S,52158,0.023,3471,0.755,0.064,2.39,24778,21647,0.19,4152.4,29734000,0.283,0.002,S,0.02,737237000,0.22,0.268,22632,0.693,50497,14487,0.682,NA,118100,0.047,0.873,0.033,12.56,Z,23857,0.532,96440000,0.887,50578
Marshall ,F,15.1,D,0.238,0.232,0.08,F,0.208,0.007,0.142,S,13065,0.03,1146,0.63,0.071,2.48,46316,4692,0.202,1278.8,178731000,0.175,0.004,F,0.132,177310000,F,0.078,5276,0.792,12433,14549,0.746,NA,84900,0.138,0.769,0.051,10.22,0.012,16601,0.508,14492000,0.766,35509
Maryville ,F,13,D,0.138,0.314,0.028,F,0.311,0.027,0.114,F,11972,0.012,879,0.457,0.044,2.29,46640,4245,0.345,2075.2,39882000,0.196,0.002,F,0.016,157590000,F,0.031,4543,0.923,10581,14632,0.913,NA,109700,0.053,0.567,0.131,5.77,Z,18239,0.521,28321000,0.882,31215
Poplar Bluff ,F,12.5,599620000,0.242,0.313,0.02,F,0.143,0.009,0.182,F,17023,0.028,2025,0.522,0.075,2.25,59096,7414,0.21,1319.1,82247000,S,0.005,S,0.022,550736000,S,0.1,8038,0.848,16651,32632,0.838,NA,82900,0.045,0.738,0.022,12.91,0.001,17660,0.541,54375000,0.751,25455
Farmington ,S,20.6,D,0.19,0.158,0.01,F,0.155,0.008,0.151,F,16240,0.011,1686,0.604,0.055,2.28,23752,5282,0.262,1737.1,67345000,0.26,0.003,F,0.015,375399000,F,0.071,6172,0.903,13924,23719,0.892,NA,109000,0.028,0.702,0.166,9.35,Z,17040,0.437,44352000,0.793,37952
St. Ann ,F,22.2,NA,0.224,0.106,0.069,F,0.169,0.022,0.13,0.066,13020,0.028,854,0.594,0.064,2.12,63956,6171,0.307,4098.2,3726000,0.316,0.003,S,0.057,139937000,0.135,0.221,6496,0.695,13607,10986,0.673,NA,107300,0.084,0.856,-0.043,3.18,Z,21822,0.525,21340000,0.829,40354
Overland ,F,21.5,502572000,0.224,0.13,0.053,F,0.163,0.032,0.127,F,16062,0.03,1511,0.721,0.073,2.41,55550,6718,0.149,3688.2,321811000,0.183,0.003,0.04,0.064,206425000,0.118,0.164,7356,0.733,16838,13114,0.713,NA,103000,0.075,0.879,-0.046,4.36,Z,21605,0.51,26062000,0.844,44767
Sedalia ,F,17.3,D,0.248,0.197,0.047,F,0.155,0.007,0.151,F,21387,0.03,2034,0.615,0.083,2.33,66440,8959,0.21,1609.7,117091000,0.258,0.005,S,0.09,469441000,S,0.052,9979,0.853,20339,22565,0.822,NA,81800,0.089,0.804,0.052,13.29,0.001,18460,0.52,49057000,0.808,32346
Kearney ,F,22,NA,0.32,0.027,0.006,F,0.299,0.004,0.091,F,8381,0.018,920,0.742,0.075,2.76,38072,2854,0.117,649.1,51799000,0.184,0.004,F,0.033,110199000,F,0.004,3120,0.962,5472,13320,0.941,NA,166700,0.031,0.869,0.532,12.91,0.001,27047,0.519,D,0.95,68537
Hannibal ,F,14.9,D,0.235,0.2,0.001,F,0.155,0.006,0.149,F,17916,0.027,1273,0.637,0.075,2.35,30214,7129,0.221,1138.6,94670000,0.159,0.002,F,0.018,218848000,S,0.071,8021,0.888,17757,12570,0.879,NA,79300,0.016,0.772,0.009,15.74,0.001,19493,0.525,35292000,0.817,35628
Columbia ,F,16,1259892000,0.188,0.229,0.081,F,0.516,0.052,0.085,0.01,108500,0.031,10138,0.485,0.06,2.26,15670,42114,0.399,1720.1,508281000,0.248,0.003,0.032,0.034,2672828000,S,0.113,46758,0.79,84531,26888,0.77,NA,164700,0.107,0.66,0.284,63.08,0.001,23859,0.517,286281000,0.926,41287
Pacific ,F,24.2,603800000,0.2,0.11,0.006,F,0.13,0.005,0.115,F,7002,0.015,533,0.602,0.06,2.39,55910,2447,0.35,1182.2,48370000,0.263,0.006,F,0.019,131431000,F,0.084,2645,0.884,5482,18189,0.874,NA,134900,0.014,0.806,0.277,5.92,Z,22939,0.444,10010000,0.812,45550
Ozark ,F,21.9,93585000,0.302,0.142,0.032,F,0.296,0.005,0.101,F,17820,0.02,1851,0.615,0.091,2.53,55766,6506,0.257,1605.6,43732000,0.187,0.005,F,0.032,371612000,F,0.008,7311,0.952,9665,21624,0.93,NA,138900,0.061,0.735,0.844,11.1,0.001,22457,0.527,31092000,0.923,48473
Ellisville ,F,24.6,NA,0.237,0.029,0.073,F,0.39,0.043,0.198,F,9133,0.014,1163,0.844,0.046,2.51,21898,3555,0.18,2078,87325000,0.23,0.001,S,0.024,866252000,F,0.019,3802,0.917,9104,94117,0.9,NA,226600,0.105,0.931,0.003,4.4,0,33680,0.533,29340000,0.925,69567
Carthage ,F,12.8,1218449000,0.288,0.309,0.171,F,0.138,0.01,0.139,0.088,14378,0.034,1053,0.587,0.098,2.72,11656,5015,0.216,1234.2,D,S,0.01,F,0.256,241565000,F,0.015,5753,0.736,12668,17711,0.689,NA,81300,0.279,0.843,0.135,11.65,0.006,15189,0.511,22942000,0.669,29024
Webster Groves ,F,20,NA,0.246,0.08,0.036,F,0.617,0.015,0.154,F,22995,0.015,2761,0.828,0.06,2.43,78154,9242,0.141,3894.8,31453000,0.25,0.002,F,0.016,130111000,S,0.066,9756,0.899,23230,5785,0.886,NA,244600,0.053,0.883,-0.01,5.9,Z,40186,0.529,34664000,0.958,74362
Mexico ,F,17.1,1148373000,0.266,0.177,0.025,F,0.172,0.008,0.17,F,11543,0.024,875,0.693,0.076,2.37,47648,4770,0.139,961.5,33603000,0.114,0.004,F,0.041,206970000,S,0.083,5272,0.861,11320,19040,0.842,NA,83200,0.04,0.874,0.02,12.01,0.001,19199,0.517,14603000,0.831,37763
Lee's Summit ,0.008,24.6,421744000,0.28,0.051,0.032,S,0.432,0.017,0.115,S,91364,0.024,9450,0.765,0.069,2.62,41348,33054,0.175,1442.3,589626000,0.283,0.003,0.021,0.039,1092023000,S,0.084,36679,0.861,70700,13892,0.837,NA,185500,0.049,0.856,0.292,63.35,0.001,33149,0.521,119869000,0.962,73151
Sullivan ,F,24.7,D,0.265,0.134,0,F,0.128,0.004,0.166,F,7081,0.01,832,0.641,0.077,2.45,71440,2855,0.21,896.6,D,0.23,0.004,F,0.022,306785000,F,0.002,3136,0.974,6351,45912,0.96,NA,106500,0.024,0.793,0.115,7.9,0,18130,0.526,22069000,0.804,32329
Liberty ,F,22.7,D,0.266,0.076,0.02,F,0.373,0.01,0.111,0.009,29149,0.026,2830,0.755,0.067,2.53,42032,10842,0.157,1004.2,279563000,S,0.005,F,0.041,411900000,0.014,0.036,11284,0.914,26232,13626,0.886,NA,165800,0.028,0.816,0.111,29.03,0.001,29265,0.513,42680000,0.934,62796
Mehlville ,F,24.3,NA,0.19,0.079,0.092,F,0.269,0.021,0.187,S,28380,0.016,2502,0.691,0.056,2.18,47180,12379,0.348,3804.8,58417000,0.221,0.002,S,0.029,994175000,S,0.03,13651,0.924,28822,NA,0.905,NA,161800,0.123,0.841,-0.015,7.46,Z,27650,0.525,73024000,0.89,50098
Kirksville ,F,10.2,D,0.164,0.328,0.035,F,0.289,0.024,0.112,F,17505,0.02,1229,0.491,0.055,2.22,39026,6512,0.362,1216.8,47243000,S,0.002,0.024,0.027,295870000,F,0.022,7434,0.923,16988,17290,0.907,NA,89200,0.049,0.654,0.03,14.39,0.001,15209,0.539,D,0.882,26865
Parkville ,F,24,NA,0.256,0.033,0.069,F,0.622,0.03,0.091,F,5554,0.025,756,0.767,0.05,2.65,56288,1898,0.23,375.6,D,S,0.001,F,0.037,70118000,F,0.04,2126,0.895,4059,13212,0.867,NA,347900,0.066,0.833,0.368,14.79,0.003,56269,0.506,12443000,0.953,99672
St. Charles ,F,21,D,0.197,0.103,0.04,F,0.304,0.025,0.139,S,65794,0.019,5929,0.668,0.059,2.32,64082,26363,0.299,2782.3,3807140000,0.257,0.003,S,0.042,1093674000,0.012,0.059,28590,0.875,60321,17184,0.853,NA,185300,0.071,0.827,0.091,23.65,0.001,28530,0.51,178142000,0.887,54936
Bolivar ,F,15.8,D,0.217,0.257,0.03,F,0.244,0.006,0.177,F,10325,0.018,937,0.506,0.069,2.32,6976,3936,0.208,1247.1,17367000,0.331,0.005,F,0.025,229828000,F,0.015,4432,0.948,9143,21132,0.933,NA,107900,0.077,0.696,0.129,8.28,Z,17308,0.535,19536000,0.828,31786
Bonne Terre ,F,29.8,NA,0.173,0.167,0,F,0.065,0.002,0.104,F,6864,0.009,506,0.722,0.051,2.36,7102,1745,0.213,1698.6,1486000,S,0.003,F,0.014,35903000,F,0.187,1882,0.796,4039,5265,0.786,NA,84400,0.02,0.706,0.699,4.04,0.001,13043,0.329,3724000,0.726,37141
Ferguson ,F,25.2,NA,0.287,0.176,0.008,F,0.202,0.005,0.103,F,21203,0.02,1460,0.636,0.082,2.47,23986,8277,0.217,3423.2,294475000,0.338,0.004,S,0.012,391824000,S,0.674,9105,0.293,22406,18574,0.287,NA,96800,0.016,0.87,-0.054,6.19,Z,20524,0.552,29273000,0.863,37134
Lewistown ,F,12.1,NA,0.204,0.115,0.016,F,0.2,0.004,0.217,F,5901,0.02,1049,0.671,0.059,2.08,43375,2808,0.251,1109.4,D,0.273,0.017,F,0.021,112053000,F,0.003,3007,0.954,5813,18915,0.941,NA,96900,0.019,0.873,0.015,5.32,0,22664,0.508,12278000,0.844,32997
Great Falls ,0.029,14.5,640197000,0.225,0.15,0.024,F,0.243,0.009,0.166,F,58505,0.038,5048,0.648,0.067,2.31,32800,24495,0.288,2684.9,596956000,0.244,0.05,S,0.034,1225965000,F,0.011,26854,0.885,56690,20854,0.867,NA,144200,0.049,0.798,0.032,21.79,0.001,22450,0.511,157730000,0.906,40935
Bozeman ,S,15.3,228024000,0.157,0.209,0.039,F,0.511,0.019,0.081,F,37280,0.021,6100,0.451,0.055,2.11,8950,15423,0.439,1950,253183000,0.264,0.011,S,0.029,1210156000,F,0.005,17464,0.936,27509,32148,0.918,NA,268100,0.059,0.604,0.355,19.12,0.001,26038,0.474,140984000,0.972,42218
Missoula ,0.016,15.3,D,0.179,0.221,0.027,F,0.417,0.012,0.107,S,66788,0.028,9437,0.49,0.057,2.19,50200,28274,0.4,2427.6,688125000,0.252,0.028,0.006,0.029,1718610000,0.004,0.005,30682,0.921,57053,25607,0.903,NA,232700,0.05,0.723,0.171,27.51,0.001,22543,0.501,233058000,0.92,36547
Helena Valley Southeast ,F,18.1,NA,0.289,0.077,0.017,F,0.167,0.004,0.082,F,8227,0.033,412,0.875,0.08,2.65,35634,2995,0.038,574.7,D,S,0.028,F,0.025,4831000,F,0.003,3157,0.926,7141,NA,0.912,NA,155800,0.043,0.878,0.152,14.32,0.001,20848,0.497,D,0.939,50428
Evergreen ,F,15.6,NA,0.263,0.124,0.029,F,0.154,0.004,0.121,F,7616,0.027,736,0.685,0.067,2.42,25075,3073,0.036,884.5,131038000,0.167,0.015,F,0.028,257903000,F,0.002,3147,0.945,6215,NA,0.93,NA,163200,0.024,0.963,0.225,8.61,0.001,19933,0.495,16117000,0.898,31942
Orchard Homes ,F,14,NA,0.209,0.117,0.038,F,0.368,0.018,0.149,F,5197,0.024,294,0.569,0.059,2.96,55675,2118,0.184,866.3,NA,S,0.02,F,0.022,5899000,F,0.002,2204,0.931,5199,NA,0.917,NA,261400,0.065,0.748,Z,6,0.001,21743,0.504,D,0.948,49950
Livingston ,S,19,NA,0.21,0.127,0.023,F,0.294,0.003,0.162,F,7044,0.02,1425,0.632,0.065,2.07,43975,3417,0.174,1170.5,D,0.281,0.008,F,0.025,133271000,F,0.001,3779,0.962,6851,18090,0.946,NA,176500,0.041,0.838,0.028,6.02,Z,22610,0.515,28993000,0.882,33937
Whitefish ,F,16.5,NA,0.196,0.173,0.022,F,0.378,0.008,0.143,F,6357,0.017,2083,0.467,0.057,2.12,79825,2941,0.324,988.6,3575000,S,0.008,F,0.028,178894000,F,0.005,4086,0.958,5032,22088,0.936,NA,328500,0.041,0.914,0.263,6.43,0.001,26714,0.497,51381000,0.944,43117
Miles City ,F,12.7,NA,0.224,0.154,0.008,F,0.196,0.004,0.178,F,8410,0.016,807,0.643,0.065,2.21,49525,3635,0.118,2518.7,D,0.234,0.017,F,0.024,D,F,0.003,4000,0.953,8487,D,0.937,NA,78100,0.022,0.764,-0.009,3.34,0.001,20253,0.512,20658000,0.906,37268
