City,State,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007 ($1000)  ","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 (a)  ","Persons 65 years and over, percent,  2010  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ",FIPS Code  ,"Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 (a)  ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 (b)  ","Retail sales, 2007 ($1000)  ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 (a)  ","Housing units, 2010  ","White persons, percent, 2010 (a)  ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year &amp; over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 (a)  ",Per capita money income in past 12 months (2010 dollars) 2006-2010  ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007 ($1000)  ","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  
Woodfield ,South Carolina,F,20.1,NA,0.243,0.14,0.235,F,0.177,0.031,0.132,F,"9,303",0.038,318,0.516,0.074,2.74,78820,"3,579",0.302,"3,391.50",NA,S,0.007,F,0.193,31537000,0.318,0.514,"3,983",0.309,"9,238",NA,0.241,NA,"$101,600 ",0.257,0.795,0.007,2.74,0.003,"$18,935 ",0.535,D,0.829,"$45,065 "
Ladson ,South Carolina,F,27.2,D,0.295,0.107,0.069,F,0.109,0.022,0.073,F,"13,790",0.036,974,0.759,0.085,3.01,39220,"4,709",0.074,"1,963.50",77685000,S,0.008,F,0.113,71523000,S,0.263,"5,013",0.615,"13,264",NA,0.572,NA,"$128,200 ",0.09,0.869,0.04,7.02,0.001,"$20,579 ",0.509,6073000,0.881,"$49,983 "
Rock Hill ,South Carolina,F,21.2,1145114000,0.244,0.179,0.047,F,0.268,0.017,0.104,0.018,"66,154",0.021,"4,532",0.558,0.074,2.48,61405,"24,452",0.329,"1,851.90",425813000,0.312,0.005,0.026,0.057,1059839000,0.158,0.383,"29,159",0.546,"49,765","$16,237 ",0.523,NA,"$136,200 ",0.068,0.747,0.329,35.72,0.001,"$22,571 ",0.54,157938000,0.849,"$43,201 "
Sans Souci ,South Carolina,F,20,NA,0.234,0.228,0.159,F,0.152,0.01,0.138,S,"7,869",0.027,526,0.536,0.079,2.48,63700,"3,312",0.214,"2,376.60",D,S,0.017,F,0.171,108269000,F,0.153,"3,825",0.695,"7,836",NA,0.644,NA,"$92,100 ",0.203,0.799,0.004,3.31,0.001,"$15,983 ",0.524,3187000,0.708,"$29,227 "
Clemson ,South Carolina,F,15.9,NA,0.138,0.333,0.118,F,0.665,0.081,0.116,F,"13,905",0.016,"1,025",0.486,0.037,2.32,14950,"5,835",0.482,"1,869.00",1499000,0.31,0.001,S,0.022,95118000,S,0.103,"6,636",0.791,"11,939","$7,449 ",0.778,NA,"$180,400 ",0.11,0.654,0.165,7.44,Z,"$24,766 ",0.472,60952000,0.953,"$33,935 "
Bluffton ,South Carolina,F,22.7,NA,0.289,0.153,0.192,F,0.326,0.02,0.073,F,"12,530",0.029,F,0.761,0.093,2.68,7210,"4,007",0.057,244.2,NA,F,0.003,F,0.188,NA,F,0.162,"5,393",0.714,"1,275",NA,0.612,NA,"$240,800 ",0.267,0.818,8.827,51.3,Z,"$29,008 ",0.511,NA,0.891,"$55,699 "
Bennettsville ,South Carolina,F,20.5,555299000,0.205,0.316,0.015,F,0.104,0.004,0.147,F,"9,069",0.012,317,0.465,0.058,2.55,5680,"2,997",0.23,"1,482.80",D,0.132,0.008,F,0.016,72241000,S,0.642,"3,658",0.327,"9,425","$8,000 ",0.321,NA,"$82,600 ",0.026,0.794,-0.038,6.12,Z,"$13,749 ",0.452,12011000,0.648,"$24,386 "
Easley ,South Carolina,F,21,348031000,0.228,0.105,0.05,F,0.219,0.008,0.18,0.021,"19,993",0.018,"2,521",0.68,0.064,2.44,21985,"7,962",0.167,"1,631.10",82230000,0.219,0.002,S,0.056,497862000,S,0.114,"9,072",0.831,"17,754","$24,877 ",0.806,NA,"$138,000 ",0.056,0.817,0.126,12.26,Z,"$23,630 ",0.527,43857000,0.838,"$45,243 "
Fountain Inn ,South Carolina,F,20.1,605235000,0.272,0.116,0.049,F,0.172,0.003,0.114,F,"7,799",0.02,922,0.747,0.08,2.76,27070,"2,671",0.135,988.8,20379000,S,0.003,F,0.06,52931000,0.145,0.312,"3,158",0.637,"6,017","$7,058 ",0.605,NA,"$115,600 ",0.066,0.801,0.296,7.89,0.002,"$18,698 ",0.531,4244000,0.813,"$44,005 "
Seven Oaks ,South Carolina,F,20,NA,0.221,0.1,0.056,F,0.379,0.028,0.154,F,"15,144",0.028,"1,369",0.576,0.064,2.25,65207,"7,200",0.375,"1,996.80",31605000,0.214,0.003,S,0.038,400673000,S,0.32,"7,083",0.604,"15,755",NA,0.587,NA,"$136,200 ",0.061,0.82,-0.039,7.58,0.002,"$26,240 ",0.528,47060000,0.959,"$49,309 "
Moncks Corner ,South Carolina,F,19.3,NA,0.274,0.142,0.022,F,0.17,0.005,0.106,F,"7,885",0.02,"1,005",0.57,0.082,2.59,47275,"2,666",0.256,"1,082.40",19794000,0.146,0.005,S,0.051,287451000,S,0.36,"3,376",0.577,"5,952","$41,059 ",0.567,NA,"$142,100 ",0.023,0.848,0.325,7.29,Z,"$18,770 ",0.514,30936000,0.895,"$44,225 "
Simpsonville ,South Carolina,F,22.5,183177000,0.26,0.114,0.086,F,0.272,0.013,0.11,0.06,"18,238",0.023,"2,732",0.705,0.073,2.48,66580,"7,042",0.165,"2,070.40",57968000,0.227,0.003,F,0.089,373744000,0.117,0.164,"7,624",0.757,"14,352","$22,069 ",0.714,NA,"$138,900 ",0.134,0.827,0.271,8.81,0.001,"$25,629 ",0.516,36978000,0.883,"$49,722 "
Orangeburg ,South Carolina,S,16.5,1015960000,0.189,0.288,0.016,F,0.283,0.017,0.142,F,"13,964",0.011,"1,914",0.507,0.064,2.12,53080,"5,011",0.248,"1,648.80",244979000,0.269,0.002,F,0.019,475975000,0.307,0.75,"5,795",0.213,"12,765","$35,871 ",0.207,NA,"$123,500 ",0.04,0.8,0.094,8.47,0.001,"$16,475 ",0.541,83975000,0.833,"$31,320 "
Greenville ,South Carolina,F,17.4,978405000,0.194,0.172,0.063,F,0.402,0.014,0.128,0.022,"58,409",0.018,"9,371",0.485,0.065,2.06,30850,"25,294",0.425,"2,037.40",4957421000,0.21,0.003,0.022,0.059,2356680000,0.053,0.3,"29,418",0.64,"56,002","$39,829 ",0.613,NA,"$183,500 ",0.077,0.749,0.043,28.67,0.001,"$30,480 ",0.519,385610000,0.838,"$40,291 "
Red Bank ,South Carolina,F,24.7,NA,0.255,0.108,0.033,F,0.132,0.006,0.086,S,"9,617",0.019,798,0.781,0.072,2.68,59110,"3,757",0.013,814.7,D,S,0.005,F,0.04,82742000,F,0.103,"3,956",0.846,"8,811",NA,0.831,NA,"$114,300 ",0.048,0.862,0.091,11.81,Z,"$21,638 ",0.515,4267000,0.838,"$54,284 "
Murrells Inlet ,South Carolina,F,17.7,NA,0.137,0.078,0.009,F,0.234,0.009,0.264,F,"7,547",0.008,"1,145",0.848,0.04,2.19,48985,"3,355",0.186,"1,025.40",4309000,S,0.003,F,0.022,109872000,S,0.065,"4,843",0.907,"5,519",NA,0.894,NA,"$226,500 ",0.032,0.868,0.367,7.36,Z,"$36,630 ",0.513,27931000,0.93,"$51,662 "
Camden ,South Carolina,F,17.5,NA,0.219,0.152,0.027,F,0.368,0.007,0.216,F,"6,838",0.011,951,0.719,0.064,2.28,10855,"2,881",0.198,640.2,5362000,0.265,0.002,0.027,0.024,258030000,S,0.351,"3,544",0.622,"6,682","$36,756 ",0.61,NA,"$156,900 ",0.042,0.885,0.023,10.68,0,"$25,956 ",0.55,31251000,0.868,"$45,412 "
North Augusta ,South Carolina,F,21.8,NA,0.234,0.123,0.023,F,0.322,0.011,0.147,F,"21,348",0.02,"2,092",0.678,0.069,2.25,50695,"8,968",0.215,"1,065.70",36504000,0.275,0.003,S,0.042,415996000,0.127,0.204,"9,726",0.742,"17,574","$20,608 ",0.725,NA,"$138,400 ",0.038,0.873,0.215,20.03,Z,"$27,893 ",0.53,41946000,0.919,"$46,327 "
Forest Acres ,South Carolina,F,17.4,NA,0.21,0.098,0.051,F,0.582,0.015,0.191,F,"10,361",0.019,"1,113",0.76,0.059,2.14,26305,"4,853",0.233,"2,254.40",D,0.412,0.002,S,0.03,118347000,S,0.194,"5,376",0.76,"10,558","$11,971 ",0.746,NA,"$181,000 ",0.067,0.847,-0.019,4.6,0.001,"$34,651 ",0.541,32509000,0.966,"$55,958 "
Five Forks ,South Carolina,F,22,NA,0.333,0.024,0.071,F,0.597,0.044,0.069,F,"14,140",0.015,858,0.937,0.072,3.05,25540,"4,313",0.025,"1,868.40",8073000,S,0.002,F,0.042,63342000,F,0.055,"4,805",0.875,"8,064",NA,0.843,NA,"$245,500 ",0.092,0.899,0.753,7.57,Z,"$38,709 ",0.507,5859000,0.958,"$97,161 "
Powdersville ,South Carolina,F,21.2,NA,0.255,0.064,0.034,F,0.213,0.016,0.114,F,"7,618",0.016,326,0.772,0.054,2.87,58165,"2,791",0.14,549,58599000,0.344,0.003,F,0.036,35014000,S,0.075,"3,131",0.873,"5,362",NA,0.855,NA,"$166,100 ",0.045,0.81,0.421,13.88,0.001,"$24,259 ",0.514,4742000,0.885,"$60,616 "
Cheraw ,South Carolina,F,17.7,826397000,0.26,0.372,0.014,F,0.162,0.006,0.186,F,"5,851",0.018,868,0.479,0.074,2.54,13600,"2,253",0.244,"1,079.10",89539000,S,0.008,F,0.011,145343000,S,0.56,"2,709",0.402,"5,524","$26,950 ",0.401,NA,"$80,500 ",0.016,0.74,0.059,5.42,0,"$14,574 ",0.561,16865000,0.726,"$21,114 "
Myrtle Beach ,South Carolina,S,15.7,D,0.185,0.214,0.163,F,0.25,0.015,0.151,0.018,"27,109",0.027,"7,291",0.554,0.058,2.2,49075,"12,073",0.576,"1,162.30",234914000,0.23,0.007,0.037,0.137,1773107000,0.029,0.139,"23,262",0.723,"22,759","$58,511 ",0.678,NA,"$171,400 ",0.189,0.811,0.191,23.32,0.003,"$28,265 ",0.492,797783000,0.875,"$37,669 "
Garden City ,South Carolina,F,18.4,NA,0.13,0.105,0.017,F,0.207,0.003,0.352,F,"9,209",0.014,883,0.812,0.031,1.87,28455,"4,645",0.323,"1,715.50",716000,0.26,0.003,F,0.029,95199000,F,0.017,"9,747",0.953,"9,357",NA,0.934,NA,"$131,100 ",0.036,0.862,-0.016,5.37,0.001,"$29,238 ",0.534,31289000,0.899,"$35,879 "
West Columbia ,South Carolina,F,17.9,265151000,0.185,0.164,0.149,F,0.288,0.018,0.163,0.018,"14,988",0.023,"1,645",0.554,0.069,2.2,75850,"6,509",0.279,"2,143.60",295845000,0.258,0.008,S,0.145,402342000,S,0.185,"7,665",0.68,"13,064","$29,100 ",0.639,NA,"$132,000 ",0.175,0.826,0.147,6.99,Z,"$24,722 ",0.511,52856000,0.819,"$41,847 "
Chester ,South Carolina,F,20.7,241624000,0.27,0.26,0.003,F,0.13,0.002,0.136,F,"5,607",0.017,392,0.618,0.077,2.37,14095,"2,359",0.203,"1,716.30",D,0.222,0.003,F,0.012,77860000,S,0.655,"2,596",0.319,"6,476","$12,929 ",0.315,NA,"$74,700 ",0.003,0.931,-0.134,3.27,0.001,"$16,674 ",0.521,4315000,0.73,"$28,146 "
Irmo ,South Carolina,F,22.9,NA,0.252,0.11,0.022,F,0.379,0.016,0.102,F,"11,097",0.025,"1,947",0.804,0.07,2.62,35890,"4,237",0.071,"1,772.40",41804000,0.287,0.004,0.039,0.033,260303000,0.143,0.299,"4,595",0.646,"11,039","$22,444 ",0.629,NA,"$129,400 ",0.041,0.85,0.005,6.26,0,"$25,719 ",0.527,27885000,0.943,"$59,264 "
Welcome ,South Carolina,S,22.5,NA,0.248,0.29,0.098,S,0.07,0.004,0.139,S,"6,668",0.018,S,0.668,0.08,2.52,75535,"2,671",0.088,"1,438.30",25924000,S,0.006,S,0.163,27497000,S,0.279,"2,977",0.586,"6,390",NA,0.54,NA,"$86,200 ",0.135,0.857,0.044,4.64,0,"$15,812 ",0.524,2412000,0.623,"$27,443 "
Lexington ,South Carolina,0.012,22.5,NA,0.246,0.111,0.04,F,0.398,0.037,0.103,0.01,"17,870",0.015,"3,208",0.651,0.069,2.31,41335,"6,750",0.303,"2,014.40",334405000,0.236,0.003,S,0.035,558345000,S,0.127,"8,101",0.808,"9,793","$37,151 ",0.785,NA,"$161,700 ",0.063,0.776,0.825,8.87,Z,"$28,927 ",0.518,70036000,0.935,"$58,800 "
Batesburg-Leesville ,South Carolina,F,28.7,D,0.247,0.304,0.012,F,0.129,0.007,0.166,S,"5,362",0.012,753,0.626,0.074,2.52,4300,"2,063",0.148,688.8,91025000,0.143,0.001,F,0.036,171517000,S,0.466,"2,510",0.495,"5,517","$30,926 ",0.479,NA,"$107,300 ",0.027,0.838,-0.028,7.79,Z,"$18,029 ",0.54,D,0.792,"$32,150 "
Walterboro ,South Carolina,F,25.8,146964000,0.258,0.358,0.003,F,0.251,0.01,0.179,F,"5,398",0.015,"1,054",0.552,0.084,2.27,74275,"2,318",0.19,832,81624000,0.195,0.003,F,0.029,310985000,S,0.505,"2,579",0.452,"5,153","$54,416 ",0.441,NA,"$129,200 ",0.005,0.826,0.048,6.49,0,"$17,411 ",0.555,36221000,0.762,"$26,449 "
Wade Hampton ,South Carolina,F,17.7,NA,0.205,0.156,0.124,F,0.379,0.032,0.181,S,"20,622",0.021,"2,205",0.605,0.059,2.21,73870,"9,184",0.349,"2,301.80",121488000,0.299,0.004,0.04,0.112,320726000,0.045,0.102,"9,948",0.78,"20,458",NA,0.735,NA,"$155,400 ",0.173,0.785,0.008,8.96,0.001,"$27,066 ",0.522,51804000,0.891,"$42,277 "
Lake Murray of Richland ,South Carolina,F,24.1,NA,0.235,0.02,0.012,F,0.505,0.011,0.182,F,"5,484",0.009,F,0.91,0.046,2.69,39475,"1,713",0,982.1,NA,F,0.002,F,0.017,NA,F,0.013,"2,215",0.961,"3,526",NA,0.949,NA,"$308,100 ",0.041,0.914,0.555,5.58,0,"$47,490 ",0.524,NA,0.946,"$97,548 "
St. Andrews ,South Carolina,F,19.5,NA,0.222,0.18,0.033,F,0.334,0.02,0.094,F,"20,493",0.022,"1,076",0.371,0.08,2.12,62395,"9,831",0.594,"3,229.30",43923000,0.201,0.003,S,0.037,141258000,0.24,0.657,"11,023",0.283,"21,814",NA,0.269,NA,"$106,700 ",0.056,0.692,-0.061,6.35,0.001,"$20,538 ",0.54,43576000,0.887,"$35,748 "
Summerville ,South Carolina,F,27.4,D,0.27,0.097,0.043,F,0.293,0.015,0.105,S,"43,392",0.029,"4,651",0.664,0.074,2.56,70270,"15,529",0.251,"2,404.70",133360000,0.309,0.004,S,0.05,751934000,0.114,0.214,"18,557",0.721,"27,752","$17,406 ",0.694,NA,"$188,200 ",0.061,0.816,0.564,18.05,0.001,"$26,691 ",0.528,116123000,0.918,"$54,951 "
Lake City ,South Carolina,F,19,NA,0.292,0.338,0.002,F,0.122,0.003,0.138,F,"6,675",0.009,572,0.545,0.081,2.78,39310,"2,406",0.224,"1,278.00",D,0.327,0.003,F,0.03,176267000,S,0.775,"2,880",0.194,"6,478","$26,470 ",0.187,NA,"$82,900 ",0.007,0.825,0.03,5.22,0,"$14,039 ",0.549,14110000,0.7,"$26,567 "
Clover ,South Carolina,F,24.2,NA,0.291,0.311,0,F,0.157,0.006,0.101,F,"5,094",0.019,F,0.492,0.08,2.59,15355,"1,898",0.241,"1,142.40",NA,F,0.005,F,0.044,NA,F,0.192,"2,127",0.765,"4,014",NA,0.738,NA,"$112,700 ",0.008,0.728,0.269,4.46,0,"$16,817 ",0.52,NA,0.738,"$27,017 "
Beaufort ,South Carolina,S,17,NA,0.223,0.15,0.045,F,0.379,0.014,0.155,S,"12,361",0.026,"2,182",0.593,0.077,2.16,4690,"4,813",0.261,447.9,45913000,0.292,0.003,S,0.067,232212000,0.106,0.257,"5,630",0.671,"12,950","$19,603 ",0.643,NA,"$222,100 ",0.063,0.751,-0.045,27.6,0.001,"$29,257 ",0.511,74044000,0.888,"$49,063 "
Centerville ,South Carolina,F,20.5,NA,0.231,0.075,0.027,F,0.232,0.011,0.157,F,"6,586",0.013,361,0.786,0.065,2.36,12965,"2,731",0.176,"1,115.30",12677000,S,0.002,F,0.027,14067000,F,0.133,"2,930",0.833,"5,181",NA,0.817,NA,"$136,100 ",0.034,0.861,0.271,5.91,0,"$24,423 ",0.525,D,0.881,"$49,293 "
Spartanburg ,South Carolina,F,16.2,D,0.235,0.228,0.037,F,0.283,0.018,0.146,S,"37,013",0.018,"4,203",0.532,0.076,2.34,68290,"14,850",0.342,"1,872.30",640520000,0.221,0.002,0.035,0.034,1251116000,0.112,0.493,"17,516",0.456,"39,673","$31,915 ",0.439,NA,"$115,600 ",0.058,0.789,-0.067,19.77,Z,"$21,240 ",0.559,176333000,0.806,"$33,276 "
Greer ,South Carolina,F,20.7,D,0.266,0.146,0.119,F,0.254,0.022,0.109,0.065,"25,515",0.021,"2,757",0.651,0.085,2.32,30985,"10,274",0.177,"1,236.40",145125000,0.166,0.003,0.02,0.145,737383000,0.075,0.173,"11,127",0.708,"16,843","$31,254 ",0.644,NA,"$136,600 ",0.177,0.836,0.515,20.64,0.001,"$23,878 ",0.525,52964000,0.808,"$43,727 "
Port Royal ,South Carolina,F,14.6,NA,0.18,0.068,0.062,F,0.282,0.025,0.053,F,"10,678",0.037,445,0.407,0.075,2.33,58030,"2,353",0.428,563.6,D,0.229,0.006,F,0.133,60900000,S,0.207,"3,546",0.688,"3,950","$5,915 ",0.611,NA,"$190,800 ",0.115,0.59,1.703,18.95,0.001,"$19,577 ",0.406,41990000,0.91,"$42,520 "
Columbia ,South Carolina,F,17.6,D,0.17,0.22,0.05,F,0.39,0.022,0.087,0.011,"129,272",0.02,"12,783",0.472,0.054,2.16,16000,"46,575",0.421,977.8,1448968000,0.242,0.003,0.023,0.043,2720157000,0.194,0.422,"52,471",0.517,"116,278","$21,595 ",0.496,NA,"$156,100 ",0.082,0.641,0.112,132.21,0.001,"$24,221 ",0.485,495965000,0.85,"$38,272 "
Oak Grove ,South Carolina,F,20.3,NA,0.244,0.091,0.045,F,0.222,0.016,0.118,F,"10,291",0.018,499,0.784,0.074,2.44,51720,"4,208",0.026,"1,547.50",D,0.485,0.004,F,0.107,70494000,S,0.113,"4,526",0.788,"8,183",NA,0.749,NA,"$123,100 ",0.063,0.844,0.258,6.65,Z,"$23,093 ",0.505,4372000,0.889,"$48,906 "
Huron ,South Dakota,F,11.1,269311000,0.241,0.155,0.057,F,0.203,0.049,0.178,F,"12,592",0.019,"1,436",0.608,0.08,2.17,31060,"5,316",0.266,"1,328.70",211388000,S,0.012,F,0.098,190109000,F,0.01,"6,023",0.869,"11,893","$17,349 ",0.819,NA,"$79,800 ",0.078,0.805,0.059,9.48,0.001,"$22,379 ",0.506,19862000,0.828,"$38,474 "
Vermillion ,South Dakota,F,14,NA,0.153,0.321,0.027,F,0.445,0.021,0.084,F,"10,571",0.026,530,0.477,0.049,2.12,66700,"3,709",0.403,"2,623.70",9533000,S,0.036,F,0.024,136802000,F,0.017,"4,043",0.896,"9,765","$13,214 ",0.883,NA,"$119,300 ",0.059,0.629,0.083,4.03,Z,"$17,168 ",0.522,18200000,0.901,"$30,534 "
Madison ,South Dakota,F,12.5,D,0.206,0.179,0.012,F,0.188,0.011,0.173,F,"6,474",0.015,715,0.605,0.055,2.21,40220,"2,565",0.262,"1,403.40",159878000,S,0.009,S,0.024,108647000,F,0.007,"2,848",0.945,"6,540","$16,942 ",0.937,NA,"$91,900 ",0.02,0.759,-0.01,4.61,Z,"$18,790 ",0.502,11570000,0.897,"$35,097 "
Brandon ,South Dakota,F,17.8,D,0.332,0.067,0.005,F,0.327,0.006,0.078,F,"8,785",0.012,900,0.781,0.095,2.8,6840,"2,939",0.135,"1,636.50",21709000,0.254,0.005,F,0.012,67028000,F,0.006,"3,238",0.968,"5,693","$9,079 ",0.961,NA,"$161,400 ",0.021,0.884,0.543,5.37,0,"$26,650 ",0.504,10300000,0.952,"$64,325 "
Spearfish ,South Dakota,F,14,NA,0.186,0.152,0.015,F,0.357,0.011,0.177,F,"10,494",0.023,"1,126",0.501,0.064,1.91,60020,"4,937",0.404,642.4,10266000,S,0.02,F,0.027,351085000,F,0.004,"5,045",0.935,"8,606","$35,331 ",0.919,NA,"$161,800 ",0.027,0.759,0.219,16.34,Z,"$25,354 ",0.529,36686000,0.931,"$33,713 "
Sioux Falls ,South Dakota,0.008,15.9,3112975000,0.246,0.102,0.061,F,0.319,0.018,0.109,0.011,"153,888",0.025,"15,065",0.623,0.08,2.39,59020,"59,751",0.316,"2,109.10",2681529000,0.237,0.027,0.012,0.044,3875929000,S,0.042,"66,283",0.868,"123,975","$25,540 ",0.849,NA,"$146,500 ",0.099,0.799,0.241,72.96,0.001,"$27,639 ",0.504,387337000,0.909,"$50,727 "
Box Elder ,South Dakota,F,12.7,NA,0.336,0.099,0.04,F,0.152,0.022,0.029,F,"7,800",0.06,F,0.496,0.123,2.79,6620,"2,605",0.186,561.1,NA,F,0.044,F,0.079,NA,F,0.051,"2,828",0.795,"2,841",NA,0.757,NA,"$116,100 ",0.082,0.641,1.746,13.9,0.004,"$16,460 ",0.481,NA,0.879,"$36,530 "
Watertown ,South Dakota,F,13.1,D,0.242,0.141,0.009,F,0.238,0.005,0.154,F,"21,482",0.014,"2,369",0.648,0.078,2.3,69300,"9,080",0.192,"1,231.30",296371000,0.26,0.024,F,0.016,546882000,F,0.004,"10,050",0.948,"20,237","$26,677 ",0.941,NA,"$127,800 ",0.025,0.82,0.062,17.45,0,"$23,636 ",0.508,71630000,0.877,"$39,970 "
Aberdeen ,South Dakota,S,10.9,D,0.222,0.12,0.011,F,0.234,0.013,0.164,F,"26,091",0.02,"2,274",0.632,0.07,2.21,100,"10,950",0.323,"1,682.90",1121555000,0.195,0.036,S,0.016,622734000,F,0.007,"12,158",0.918,"24,658","$25,003 ",0.911,NA,"$116,100 ",0.057,0.834,0.058,15.5,0.002,"$23,121 ",0.524,70518000,0.887,"$41,718 "
Belle Fourche ,South Dakota,F,19.2,NA,0.262,0.144,0.007,F,0.203,0.003,0.156,F,"5,594",0.026,F,0.689,0.09,2.45,4380,"2,267",0.145,655.7,NA,F,0.021,F,0.041,NA,F,0.002,"2,511",0.936,"4,565",NA,0.915,NA,"$98,700 ",0.05,0.821,0.225,8.53,0.001,"$20,567 ",0.511,NA,0.86,"$38,750 "
Sturgis ,South Dakota,F,21,NA,0.239,0.121,0.011,F,0.178,0.004,0.188,F,"6,627",0.026,843,0.632,0.077,2.22,62100,"2,894",0.211,"1,661.70",11237000,S,0.023,F,0.026,115330000,F,0.002,"3,154",0.939,"6,442","$19,136 ",0.921,NA,"$116,600 ",0.027,0.839,0.029,3.99,Z,"$21,396 ",0.519,20265000,0.855,"$36,751 "
Pierre ,South Dakota,F,10.7,NA,0.229,0.1,0.01,F,0.344,0.006,0.139,F,"13,646",0.024,"1,586",0.664,0.068,2.24,49600,"5,896",0.262,"1,044.90",221640000,0.258,0.109,F,0.019,252172000,F,0.005,"6,159",0.851,"13,876","$17,918 ",0.843,NA,"$135,900 ",0.091,0.791,-0.017,13.06,0,"$27,983 ",0.522,33094000,0.941,"$52,534 "
Rapid Valley ,South Dakota,S,18.2,NA,0.283,0.125,0.009,F,0.122,0.009,0.075,F,"8,260",0.035,643,0.88,0.083,2.7,53007,"3,015",0.022,"1,110.10",D,S,0.042,F,0.032,3372000,F,0.007,"3,101",0.9,"7,043",NA,0.882,NA,"$134,100 ",0.031,0.843,0.173,7.44,0.001,"$22,135 ",0.496,2281000,0.913,"$53,104 "
Yankton ,South Dakota,F,11.8,D,0.209,0.128,0.026,F,0.291,0.007,0.179,F,"14,454",0.016,"1,411",0.623,0.062,2.13,73060,"5,705",0.262,"1,760.50",115020000,0.298,0.023,F,0.034,255780000,F,0.021,"6,365",0.921,"13,528","$18,707 ",0.905,NA,"$116,700 ",0.081,0.824,0.068,8.21,Z,"$25,312 ",0.495,33037000,0.878,"$42,956 "
Brookings ,South Dakota,F,12.1,D,0.161,0.251,0.038,F,0.455,0.037,0.084,F,"22,056",0.016,"1,247",0.49,0.052,2.4,7580,"7,621",0.392,"1,704.70",121246000,0.263,0.01,F,0.015,297979000,F,0.011,"8,715",0.921,"18,504","$15,144 ",0.912,NA,"$141,100 ",0.061,0.643,0.192,12.94,Z,"$19,519 ",0.489,49540000,0.938,"$39,403 "
Mitchell ,South Dakota,F,11.8,D,0.226,0.16,0.006,F,0.223,0.005,0.182,F,"15,254",0.018,"1,526",0.58,0.074,2.15,43100,"6,514",0.304,"1,369.70",316066000,0.21,0.03,F,0.017,318932000,F,0.005,"7,120",0.936,"14,558","$21,563 ",0.929,NA,"$103,800 ",0.026,0.783,0.048,11.14,0.001,"$22,627 ",0.512,45066000,0.872,"$39,345 "
Rapid City ,South Dakota,0.031,15.7,623571000,0.239,0.163,0.024,F,0.297,0.012,0.145,0.01,"67,956",0.041,"6,662",0.588,0.075,2.31,52980,"27,678",0.303,"1,226.50",889360000,0.226,0.124,0.004,0.041,1855748000,F,0.011,"30,254",0.804,"59,607","$28,821 ",0.786,NA,"$147,200 ",0.059,0.742,0.14,55.41,0.001,"$25,681 ",0.505,231930000,0.918,"$44,099 "
Spring Hill ,Tennessee,S,32.7,D,0.339,0.036,0.042,F,0.372,0.016,0.05,0.024,"29,036",0.019,"2,302",0.856,0.106,2.94,70580,"8,646",0.057,"1,072.70",45341000,0.194,0.002,S,0.056,159204000,S,0.054,"10,569",0.891,"7,715","$6,691 ",0.855,NA,"$199,800 ",0.066,0.845,2.764,27.07,0.002,"$27,709 ",0.515,19128000,0.957,"$72,744 "
Lenoir City ,Tennessee,F,18.4,225302000,0.27,0.296,0.094,F,0.112,0.006,0.123,S,"8,642",0.018,782,0.557,0.086,2.44,41760,"3,423",0.232,"1,018.60",15512000,S,0.005,0.037,0.175,340081000,F,0.016,"3,703",0.873,"6,819","$43,295 ",0.787,NA,"$107,900 ",0.118,0.834,0.267,8.48,0.003,"$20,350 ",0.514,40073000,0.797,"$31,984 "
Nashville-Davidson (balance),Tennessee,0.006,23.2,6452038000,0.217,0.178,0.117,0.001,0.334,0.031,0.102,0.03,"601,222",0.025,"61,671",0.57,0.072,2.33,52006,"242,496",0.378,"1,265.40",10837514000,0.268,0.003,0.035,0.1,10272149000,0.114,0.284,"272,622",0.605,"545,524","$17,337 ",0.563,NA,"$162,400 ",0.15,0.796,0.102,475.13,0.001,"$26,550 ",0.515,2126158000,0.848,"$45,063 "
